source,interaction,target,cor,cor_sign
VIT_02s0109g00230,-->,VIT_12s0142g00160,0.73360576944355,+
VIT_02s0109g00230,-->,VIT_17s0000g01930,0.769157543488274,+
VIT_02s0109g00230,-->,VIT_04s0008g06000,0.767535234043768,+
VIT_11s0052g00630,-->,VIT_02s0109g00230,0.67824018610341,+
VIT_11s0052g00630,-->,VIT_17s0000g00430,0.673898243692334,+
VIT_11s0052g00630,-->,VIT_06s0004g04490,0.637998320159909,+
VIT_11s0052g00630,-->,VIT_04s0008g06000,0.754695737479351,+
VIT_12s0142g00160,-->,VIT_11s0016g03760,0.544850557524764,+
VIT_07s0031g00420,-->,VIT_17s0000g00430,0.599582328501789,+
VIT_07s0031g00420,-->,VIT_04s0008g06000,0.873896139138222,+
VIT_17s0000g00430,-->,VIT_02s0109g00230,0.69208746459034,+
VIT_17s0000g00430,-->,VIT_04s0008g06000,0.744751425972297,+
VIT_07s0031g01160,-->,VIT_11s0016g03760,0.505322324532463,+
VIT_07s0031g01160,-->,VIT_06s0004g04490,0.532897551814088,+
VIT_07s0031g01160,-->,VIT_04s0008g06000,0.580086681340055,+
VIT_11s0016g03760,-->,VIT_04s0008g06000,0.608214313126964,+
VIT_17s0000g01930,-->,VIT_12s0142g00160,0.78148708457079,+
VIT_17s0000g01930,-->,VIT_17s0000g00430,0.667730017459411,+
VIT_06s0004g04490,-->,VIT_02s0109g00230,0.648832872447982,+
VIT_06s0004g04490,-->,VIT_11s0016g03760,0.543330385129119,+
VIT_14s0006g01280,-->,VIT_04s0008g06000,-0.529268687778782,-
VIT_04s0008g06000,-->,VIT_17s0000g01930,0.743188796847585,+
